"Period","Date","Open","High","Low","Close","Volume","Currency"
"131","2/28/2022","4.62","4.683","4.366","4.402","107186","USD"
"132","3/1/2022","4.408","4.627","4.34","4.573","112546","USD"
"133","3/2/2022","4.6","4.911","4.6","4.762","141694","USD"
"134","3/3/2022","4.795","4.936","4.628","4.722","137151","USD"
"135","3/4/2022","4.75","5.045","4.728","5.016","125385","USD"
"136","3/7/2022","5.041","5.184","4.781","4.833","130864","USD"
"137","3/8/2022","4.818","4.882","4.507","4.527","159168","USD"
"138","3/9/2022","4.569","4.625","4.45","4.526","95126","USD"
"139","3/10/2022","4.52","4.671","4.499","4.631","81807","USD"
"140","3/11/2022","4.657","4.797","4.622","4.725","84506","USD"
"141","3/14/2022","4.705","4.759","4.506","4.658","73961","USD"
"142","3/15/2022","4.679","4.682","4.459","4.568","86943","USD"
"143","3/16/2022","4.625","4.776","4.594","4.748","80521","USD"
"144","3/17/2022","4.747","5.001","4.691","4.99","93844","USD"
"145","3/18/2022","4.93","4.957","4.811","4.863","67268","USD"
"146","3/21/2022","4.909","4.976","4.748","4.9","75457","USD"
"147","3/22/2022","4.948","5.204","4.877","5.187","122753","USD"
"148","3/23/2022","5.147","5.33","5.092","5.232","74535","USD"
"149","3/24/2022","5.115","5.464","5.063","5.401","84230","USD"
"150","3/25/2022","5.401","5.577","5.345","5.571","29472","USD"
"151","3/28/2022","5.551","5.652","5.419","5.508","33907","USD"
"152","3/29/2022","5.453","5.491","5.255","5.336","2272","USD"
"153","3/30/2022","5.329","5.624","5.27","5.605","117845","USD"
"154","3/31/2022","5.575","5.832","5.454","5.642","159717","USD"
"155","4/1/2022","5.627","5.778","5.505","5.72","178521","USD"
"156","4/4/2022","5.745","5.857","5.65","5.712","137180","USD"
"157","4/5/2022","5.782","6.201","5.771","6.032","158216","USD"
"158","4/6/2022","6.078","6.394","6","6.029","166720","USD"
"159","4/7/2022","6.116","6.44","6","6.359","199510","USD"
"160","4/8/2022","6.411","6.538","6.257","6.278","188342","USD"
"161","4/11/2022","6.394","6.722","6.247","6.643","177957","USD"
"162","4/12/2022","6.705","6.947","6.6","6.68","234248","USD"
"163","4/13/2022","6.704","7.091","6.652","6.997","210551","USD"
"164","4/14/2022","7.046","7.346","6.95","7.3","214218","USD"
"165","4/18/2022","7.367","8.065","7.365","7.82","191084","USD"
"166","4/19/2022","7.776","7.939","6.954","7.176","236995","USD"
"167","4/20/2022","7.253","7.41","6.791","6.937","157958","USD"
"168","4/21/2022","6.825","7.146","6.703","6.957","145263","USD"
"169","4/22/2022","6.938","7.08","6.438","6.534","80599","USD"
"170","4/25/2022","6.414","6.966","6.345","6.669","32516","USD"
"171","4/26/2022","6.836","7.05","6.662","6.85","41407","USD"
"172","4/27/2022","7.009","7.524","6.956","7.339","0","USD"
"173","4/28/2022","7.395","7.422","6.879","6.888","139569","USD"
"174","4/29/2022","6.939","7.335","6.805","7.244","109239","USD"
"175","5/2/2022","7.412","7.617","7.219","7.475","110917","USD"
"176","5/3/2022","7.54","8.169","7.539","7.954","153339","USD"
"177","5/4/2022","7.815","8.474","7.729","8.415","132317","USD"
"178","5/5/2022","8.355","8.913","8.117","8.783","160163","USD"
"179","5/6/2022","8.843","8.996","7.957","8.043","168297","USD"
"180","5/9/2022","7.843","8.287","6.962","7.026","202616","USD"
"181","5/10/2022","7.03","7.463","6.43","7.385","185464","USD"
"182","5/11/2022","7.312","7.721","7.296","7.64","120930","USD"
"183","5/12/2022","7.637","7.79","7.255","7.739","107056","USD"
"184","5/13/2022","7.673","7.919","7.515","7.663","85042","USD"
"185","5/16/2022","7.7","8.183","7.663","7.956","93521","USD"
"186","5/17/2022","8.016","8.372","8.015","8.304","76666","USD"
"187","5/18/2022","8.318","8.548","8.16","8.368","80717","USD"
"188","5/19/2022","8.24","8.5","7.905","8.308","90577","USD"
"189","5/20/2022","8.112","8.189","7.837","8.083","85458","USD"
"190","5/23/2022","8.079","8.822","7.851","8.744","65546","USD"
"191","5/24/2022","8.727","8.93","8.605","8.796","31660","USD"
"192","5/25/2022","8.831","9.399","8.765","8.971","37393","USD"
"193","5/26/2022","8.984","9.401","8.785","8.908","1466","USD"
"194","5/27/2022","8.811","8.895","8.285","8.727","107093","USD"
"195","5/29/2022","8.829","8.841","8.701","8.815","0","USD"
"196","5/30/2022","8.819","8.908","8.598","8.686","0","USD"
"197","5/31/2022","8.874","8.916","8.118","8.145","125484","USD"
"198","6/1/2022","8.271","8.791","8.146","8.696","111962","USD"
"199","6/2/2022","8.783","9.057","8.377","8.485","119011","USD"
"200","6/3/2022","8.412","8.693","8.267","8.523","75228","USD"
"201","6/6/2022","8.75","9.4","8.732","9.322","129103","USD"
"202","6/7/2022","9.359","9.544","9.2","9.293","140029","USD"
"203","6/8/2022","9.335","9.664","8.427","8.699","250296","USD"
"204","6/9/2022","8.629","9.036","8.016","8.963","244480","USD"
"205","6/10/2022","8.997","9.149","8.622","8.85","134611","USD"
"206","6/13/2022","8.92","8.95","8.382","8.609","167556","USD"
"207","6/14/2022","8.686","8.889","7.008","7.189","273717","USD"
"208","6/15/2022","7.269","7.698","7.201","7.42","123589","USD"
"209","6/16/2022","7.54","8.027","7.33","7.464","137433","USD"
"210","6/17/2022","7.454","7.588","6.881","6.944","103759","USD"
"211","6/19/2022","6.752","6.758","6.659","6.702","0","USD"
"212","6/20/2022","6.706","6.84","6.635","6.713","0","USD"
"213","6/21/2022","6.8","6.976","6.554","6.808","120010","USD"
"214","6/22/2022","6.844","6.93","6.575","6.858","92473","USD"
"215","6/23/2022","6.829","6.84","6.175","6.239","78031","USD"
"216","6/24/2022","6.228","6.337","6.021","6.22","26571","USD"
"217","6/27/2022","6.126","6.538","6.01","6.501","33103","USD"
"218","6/28/2022","6.449","6.765","6.386","6.551","2462","USD"
"219","6/29/2022","6.632","6.833","6.405","6.498","82205","USD"
"220","6/30/2022","6.428","6.602","5.357","5.424","182579","USD"
"221","7/1/2022","5.701","5.95","5.59","5.73","106967","USD"
"222","7/3/2022","5.701","5.734","5.678","5.709","0","USD"
"223","7/4/2022","5.712","5.905","5.606","5.853","0","USD"
"224","7/5/2022","5.712","5.907","5.325","5.523","110174","USD"
"225","7/6/2022","5.46","5.737","5.38","5.51","73506","USD"
"226","7/7/2022","5.539","6.381","5.488","6.297","127670","USD"
"227","7/8/2022","6.188","6.305","6.012","6.034","0","USD"
"228","7/11/2022","6.314","6.59","6.16","6.319","70941","USD"
"229","7/12/2022","6.395","6.647","5.895","6.021","73232","USD"
"230","7/13/2022","6.125","6.683","6.058","6.589","67360","USD"
"231","7/14/2022","6.544","6.806","6.461","6.511","69083","USD"
"232","7/15/2022","6.584","7.047","6.351","6.926","49322","USD"
"233","7/18/2022","7.021","7.46","6.987","7.382","52893","USD"
"234","7/19/2022","7.329","7.453","7.017","7.15","58013","USD"
"235","7/20/2022","7.2","7.925","7.057","7.899","75265","USD"
"236","7/21/2022","7.769","8.045","7.485","7.815","84550","USD"
"237","7/22/2022","7.78","8.293","7.652","8.195","86576","USD"
"238","7/25/2022","8.273","8.704","8.202","8.571","79048","USD"
"239","7/26/2022","8.667","9.419","8.568","8.825","146555","USD"
"240","7/27/2022","8.701","8.99","8.345","8.554","105217","USD"
"241","7/28/2022","8.58","8.845","8.103","8.134","89237","USD"
"242","7/29/2022","8.155","8.388","8.01","8.229","77774","USD"
"243","8/1/2022","7.91","8.298","7.753","8.283","104021","USD"
"244","8/2/2022","8.228","8.233","7.625","7.706","106080","USD"
"245","8/3/2022","7.671","8.48","7.55","8.266","134210","USD"
"246","8/4/2022","8.281","8.45","7.825","8.122","102540","USD"
"247","8/5/2022","8.151","8.248","7.898","8.064","111704","USD"
"248","8/8/2022","7.876","7.917","7.532","7.589","117789","USD"
"249","8/9/2022","7.666","7.889","7.623","7.833","88511","USD"
"250","8/10/2022","7.858","8.267","7.705","8.202","111811","USD"
"251","8/11/2022","8.222","8.994","8.178","8.874","141751","USD"
"252","8/12/2022","8.717","8.919","8.516","8.768","68126","USD"
"253","8/15/2022","8.679","8.936","8.403","8.728","80221","USD"
"254","8/16/2022","8.809","9.411","8.785","9.329","104087","USD"
"255","8/17/2022","9.362","9.677","9.121","9.244","88675","USD"
"256","8/18/2022","9.166","9.663","8.913","9.188","112102","USD"
"257","8/19/2022","9.201","9.395","8.87","9.336","69809","USD"
"258","8/22/2022","9.159","9.95","9.143","9.647","60483","USD"
"259","8/23/2022","9.78","9.987","9.021","9.155","86534","USD"
"260","8/24/2022","9.196","9.408","9.063","9.3","72189","USD"
"261","8/25/2022","9.239","9.419","9.175","9.375","25827","USD"
"262","8/26/2022","9.372","9.668","9.186","9.296","33977","USD"
"263","8/29/2022","9.67","9.682","9.034","9.353","1200","USD"
"264","8/30/2022","9.262","9.3","8.865","9.042","76599","USD"
"265","8/31/2022","9.082","9.284","8.814","9.127","86294","USD"
"266","9/1/2022","9.133","9.394","9.01","9.262","94244","USD"
